12,15,14,11,8,3,1,6,4,2,1,1,10,1,1,13,9,5,1,7,1,,"[12, 15, 14, 11,  8,  3,  1,  6,  4,  2,  1,  1, 10,  1,  1, 13,  9,"
CON,Urban,Provider Type,Type of Control,FTE - Employees on Payroll,Number of Beds,Discharges,Cost of Charity Care,Cost of Uncompensated Care,Total Costs,Total fixed Assets,Total Long Term Liabilities,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Inpatient %,Outpatient %,Charity %,Uncompensated %,Rev Per Discharge,Rev Per Bed,,"        5,  1,  7,  1"
1,1,1,2,322.1,70,435,26358,284986,7704339,9205205,5012389,6691433,14763631,21455064,0.311881288,0.688118712,0.001228521,0.001228521,49321.98621,306500.9143,,
1,2,1,9,923.39,155,2110,782377,3793100,39198497,61187548,672577,64929188,101005874,165935062,0.391292758,0.608707242,0.004714959,0.004714959,78642.20948,1070548.787,,
1,2,1,2,378.26,49,632,14670,269451,20033059,65893849,34152807,16852176,44004253,60856429,0.276916938,0.723083062,0.000241059,0.000241059,96291.81804,1241967.939,,
1,1,1,2,693.11,48,1422,1989303,1882929,43205601,-1046227,11247,39423493,74054548,113478041,0.347410765,0.652589235,0.01753029,0.01753029,79801.7166,2364125.854,,
1,1,1,2,1452.05,268,9188,9740925,15188401,222474406,177612000,125362000,358393348,625072412,983465760,0.364418735,0.635581265,0.009904692,0.009904692,107038.067,3669648.358,,
1,2,1,2,709.95,264,1770,556718,1113237,31578842,88289673,187500,63182063,59906879,123088942,0.513304136,0.486695864,0.004522892,0.004522892,69541.77514,466245.9924,,
1,1,1,2,710.9,119,1744,29295,1143589,39314854,23973046,6784278,51102599,73547202,124649801,0.409969359,0.590030641,0.000235018,0.000235018,71473.50975,1047477.319,,
0,1,1,1,1442.57,343,6990,252776,389181,178962008,24313351,1909038,853148312,99485661,952633973,0.895567801,0.104432199,0.000265344,0.000265344,136285.2608,2777358.522,,
0,2,1,2,376.1,24,826,113783,591818,38749107,23445990,24602065,21555861,53495982,75051843,0.287212947,0.712787053,0.001516059,0.001516059,90861.7954,3127160.125,,
1,1,1,8,2550.71,351,14593,4276479,20276038,254290694,302077403,202975044,682840329,569929961,1252770290,0.545064274,0.454935726,0.003413618,0.003413618,85847.34393,3569146.125,,
1,1,1,9,1201.79,160,6344,872525,9521704,131898396,79078414,25238977,157643954,328513889,486157843,0.324264961,0.675735039,0.001794736,0.001794736,76632.69909,3038486.519,,
1,1,5,4,769.4,274,5270,171614,6186898,78149795,41852067,69315,403452183,356923231,760375414,0.530596039,0.469403961,0.000225696,0.000225696,144283.7598,2775092.752,,
