CON,Urban,Inpatient %,Outpatient %,Charity %,Uncompensated %,Rev/Discharge,Rev Per Bed,Rev Per Bed Days,Discharges Per Bed,Discharges Per Bed Days,Discharge/FTE,Labor %,Overhead %,Depreciation %,LbrExp/FTE,Overhead Exp Per Bed
1.0,1.0,0.6091558831717202,0.39084411682827985,0.01800004740906327,0.01800004740906327,19591.9344988919,244808.75692307693,2660.96474916388,12.495384615384616,0.13581939799331103,12.495384615384616,0.43687176549717693,0.5411838837439275,0.03431706050334097,19215.838152206365,132486.55384615384
1.0,1.0,0.3128612100973843,0.6871387899026157,0.008870516155323036,0.008870516155323036,19666.786283891546,127124.48453608247,2118.741408934708,6.463917525773196,0.1077319587628866,6.463917525773196,0.5949352347625815,0.7083964698941495,0.107412695162425,31006.72442941674,90054.53608247422
1.0,1.0,0.3331881879441553,0.6668118120558447,0.08988897299323285,0.08988897299323285,15336.841967784067,404927.8850574713,2224.8784893267652,26.402298850574713,0.14506757610205886,26.402298850574713,0.5974453064240813,0.6728073845190996,0.07650762051400893,35808.018306168975,272438.4712643678
1.0,1.0,0.3031027930392364,0.6968972069607636,0.013153553845712389,0.013153553845712389,42558.792742498255,628729.381443299,2294.632778990142,14.77319587628866,0.0539167732711265,14.77319587628866,0.6493834562425445,0.5870634769027698,0.03827378078025145,114883.4928784846,369104.05670103093
1.0,1.0,0.42041725581488426,0.5795827441851158,0.03746635150286407,0.03746635150286407,19701.993678887484,417435.9910714286,2281.0709894613583,21.1875,0.11577868852459017,21.1875,0.45398309676691023,0.7593571820281856,0.08230404272203323,73903.18593314763,316983.01785714284
0.0,0.0,0.2235831796003383,0.7764168203996616,0.05629527545637847,0.05629527545637847,71400.9,171362.16,2763.905806451613,2.4,0.03870967741935484,2.4,0.6622435198062396,0.6584699912746198,0.08866508218617225,12067.062226191994,112836.84
0.0,1.0,0.7446034156024297,0.2553965843975703,0.001269766286484263,0.001269766286484263,26242.400804289544,261024.41333333333,1706.041917211329,9.946666666666667,0.06501089324618736,9.946666666666667,0.5158738408683203,0.5539879769100525,0.018791601153424677,50905.66560814557,144604.38666666666
0.0,1.0,0.669297434916889,0.330702565083111,0.0017831314020192188,0.0017831314020192188,19056.583333333332,213993.19266055047,1398.6483180428133,11.229357798165138,0.07339449541284404,11.229357798165138,0.6187912262320957,0.4719513927777348,0.027853668328127388,53916.5670526709,100994.38532110091
1.0,0.0,0.768387691982463,0.23161230801753693,0.03455402255584671,0.03455402255584671,6738.829268292683,52271.45945945946,343.89118065433854,7.756756756756757,0.05103129445234708,7.756756756756757,0.5363998957624542,0.6850630078736575,0.033095420786703925,17515.12746918791,35809.24324324324
1.0,0.0,0.8206070329942576,0.17939296700574237,0.059256909444749394,0.059256909444749394,5474.30243902439,30330.594594594593,248.6114311032344,5.54054054054054,0.045414266725742135,5.54054054054054,0.687539653119854,0.9363678811511346,0.0580717712558544,16920.592105263157,28400.594594594593
0.0,1.0,0.706571298472873,0.29342870152712697,0.0009282158855744428,0.0009282158855744428,23824.22605473204,366558.7061403509,2395.8085368650386,15.385964912280702,0.1005618621717693,15.385964912280702,0.44689719347389184,0.4034583029441025,0.002223381920406349,42222.026904815735,147891.15350877194
1.0,0.0,0.6009146427539479,0.3990853572460521,0.03575737871510182,0.03575737871510182,16062.295902452857,676342.5253731343,1847.8851834634174,42.10746268656717,0.1150448973599863,42.10746268656717,0.4681159082045269,0.6749262956251973,0.08136130934910107,67414.50645140787,456481.3552238806
0.0,0.0,0.17252204021678347,0.8274779597832166,0.17780978170239434,0.17780978170239434,10808.55298013245,279787.1142857143,764.4456674473068,25.885714285714286,0.07072599531615925,25.885714285714286,1.1652058110712542,1.0974468445345538,0.07530266123764098,62780.38514442916,307051.4857142857
1.0,0.0,0.2460686606721034,0.7539313393278966,0.01125061152648568,0.01125061152648568,16208.658941101425,747346.3039215687,2041.9297921354334,46.1078431372549,0.1259777134897675,46.1078431372549,0.4491458031183092,0.6508741786936767,0.059593419188571306,61512.900646784045,486428.4117647059
1.0,1.0,0.5253497399498198,0.47465026005018024,0.000259393761988206,0.000259393761988206,16600.581586144028,598166.2116788321,1634.3339116907982,36.03284671532847,0.09845040086155318,36.03284671532847,0.41538867617673,0.615823793135348,0.038184764235207384,82042.32553655567,368364.98540145985
1.0,1.0,0.5043405313572346,0.49565946864276544,0.002966515225449054,0.002966515225449054,17415.265615091947,708745.1322580645,1936.4621099947117,40.696774193548386,0.11119337211352018,40.696774193548386,0.5880187850957351,0.58533466812318,0.058621081910280946,99229.77487960552,414853.0967741936
1.0,0.0,0.29233846238560096,0.7076615376143991,0.029295511318242047,0.029295511318242047,25526.68,357373.52,4412.018765432099,14.0,0.1728395061728395,14.0,0.4433434239895558,0.5180663637305865,0.04162289360442822,17073.189655172413,185143.2
1.0,0.0,0.18900863258520803,0.8109913674147919,0.001850095683277531,0.001850095683277531,69005.44,235245.81818181818,642.7481371087929,3.409090909090909,0.009314456035767511,3.409090909090909,0.697769335287189,0.5481637389747823,0.015033404129684074,82523.78884826326,128953.22727272728
0.0,0.0,0.24306214780553817,0.7569378521944619,0.013235786509860984,0.013235786509860984,38383.59259259259,21150.14285714286,515.8571428571429,0.5510204081632653,0.013439522150323544,0.5510204081632653,0.6855697409290428,0.568684343329567,0.05039865606156952,7277.424971832429,12027.755102040815
