12,11,2,5,4,1,8,9,10,1,3,1,1,6,1,7,,"12, 11,  2,  5,  4,  1,  8,  9, 10,  1,  3,  1,  1,  6,  1,  7"
CON,Urban,Inpatient %,Outpatient %,Charity %,Uncompensated %,Rev Per Discharge,Rev Per Bed,Rev Per Bed Days,Rev Per FTE,Discharges Per Bed,Discharges Per Bed Days,Discharges Per FTE,Labor %,Overhead %,Depreciation %,,
1,1,0.311881288,0.688118712,0.003080446,0.003080446,19670.23908,122236.4857,1328.657453,26564.8991,6.214285714,0.067546584,6.214285714,0.715115571,0.627406313,0.031450979,,
1,0,0.364762956,0.635237044,0.000905042,0.000905042,15444.52941,132660.3789,1105.503158,52406.58683,8.589473684,0.071578947,8.589473684,0.414190617,0.826682873,0.11926569,,
1,1,0.347410765,0.652589235,0.040733411,0.040733411,34343.97539,1017440.271,5590.331158,70460.86913,29.625,0.162774725,29.625,0.734930775,0.5330902,0.03144425,,
1,1,0.364418735,0.635581265,0.042945239,0.042945239,24686.76535,846350.7463,3100.185884,156208.1196,34.28358209,0.125580887,34.28358209,0.409349975,0.67023455,0.060068706,,
1,0,0.513304136,0.486695864,0.017442177,0.017442177,18032.72316,120901.2121,1328.584749,44957.98296,6.704545455,0.073676324,6.704545455,0.386780906,0.660866592,0.053281918,,
1,1,0.409969359,0.590030641,0.000476298,0.000476298,35266.95183,516853.479,3422.870722,86517.88437,14.65546218,0.097056041,14.65546218,0.337165203,0.497786851,0.047783157,,
1,1,0.324264961,0.675735039,0.005332073,0.005332073,25793.99464,1022731.888,3746.27065,136161.1446,39.65,0.145238095,39.65,0.442381948,0.645746788,0.07018192,,
1,1,0.530596039,0.469403961,0.001928092,0.001928092,16889.40076,324843.5839,1532.281056,115683.8342,19.23357664,0.090724418,19.23357664,0.409472692,0.609065922,0.039112805,,
0,1,0.023999057,0.976000943,0.000781572,0.000781572,122701.5,350575.7143,1936.882399,109310.9131,2.857142857,0.01578532,2.857142857,0.366126738,0.643931818,0.016540548,,
0,1,0.609214485,0.390785515,0.032370099,0.032370099,20322.17122,318584.4135,1502.756668,206088.1663,15.67669173,0.073946659,15.67669173,0.497655831,0.661436528,0.079930115,,
1,1,0.49261367,0.50738633,0.014379982,0.014379982,26553.76673,118421.2339,1910.019901,31694.86942,4.459677419,0.071930281,4.459677419,0.505416183,0.823953079,0.055889334,,
0,1,0.250838102,0.749161898,0.018643286,0.018643286,35319.82226,447116.8409,3725.973674,86365.25308,12.65909091,0.105492424,12.65909091,0.437862973,0.598713342,0.061846809,,
0,0,0.188190345,0.811809655,0.016324994,0.016324994,20713.01734,426589.5238,1168.738421,93692.20311,20.5952381,0.05642531,20.5952381,0.714891643,0.822781407,0.08356589,,
1,1,0.427440543,0.572559457,0.020261115,0.020261115,20164.11109,1190642.75,3262.034932,248791.0224,59.04761905,0.161774299,59.04761905,0.365742639,0.586356463,0.008980554,,
1,0,0.349426103,0.650573897,0.034678648,0.034678648,17329.19975,415375.6667,1138.015525,109484.0016,23.96969697,0.065670403,23.96969697,0.663853611,0.615106865,0.084565071,,
1,1,0.291447576,0.708552424,0.010567182,0.010567182,21563.80837,599124.1892,1641.436135,104092.7639,27.78378378,0.076119956,27.78378378,0.633163543,0.475481846,0.049813748,,
1,1,0.296613116,0.703386884,0.00892008,0.00892008,26138.81565,1572752.431,4308.910769,223759.2926,60.16923077,0.164847208,60.16923077,0.301576654,0.530448325,0.030874251,,
1,1,0.487768608,0.512231392,0.048621513,0.048621513,17266.57172,943394.3185,2584.641969,193186.5499,54.63703704,0.149690512,54.63703704,0.382133435,0.568702669,0.048693546,,
1,0,0.273738736,0.726261264,0.014796532,0.014796532,19236.42132,349253.4675,956.8588152,92094.50704,18.15584416,0.049742039,18.15584416,0.643710665,0.616723938,0.036881226,,
0,0,0.209839064,0.790160936,0.011742591,0.011742591,70640.12806,1875495.4,5138.343562,203924.6928,26.55,0.072739726,26.55,0.614529833,0.5795312,0.043276819,,
1,0,0.228749455,0.771250545,0.000299185,0.000299185,76155.88889,1154362.947,3162.638212,304920.0056,15.15789474,0.041528479,15.15789474,0.257052192,0.721804955,0.008218523,,
1,1,0.374525262,0.625474738,0.012053861,0.012053861,26859.53311,876899.8048,2402.465219,220123.79,32.64761905,0.089445532,32.64761905,0.306433272,0.543084585,0.053847402,,
1,1,0.44807786,0.55192214,0.00983091,0.00983091,20033.31513,810638.4032,2220.927132,182180.4602,40.46451613,0.110861688,40.46451613,0.576841363,0.570448671,0.052231924,,
1,1,0.459783455,0.540216545,0.021080171,0.021080171,15381.69329,560007.5741,1534.267326,111852.3783,36.40740741,0.099746322,36.40740741,0.741338419,0.889741571,0.115934775,,
1,1,0.502994539,0.497005461,0.037778069,0.037778069,19665.1054,1023857.353,2805.088639,215956.0607,52.06467662,0.14264295,52.06467662,0.368101452,0.615618033,0.108897088,,
0,0,0.169162685,0.830837315,0.113222201,0.113222201,20608.92172,421246.36,1138.503676,60475.24406,20.44,0.055243243,20.44,1.018032298,0.907742633,0.080744674,,
1,1,0.529405043,0.470594957,0.018815986,0.018815986,12349.72946,395107.8986,1082.487394,97134.5476,31.99324324,0.087652721,31.99324324,0.572821581,0.526786653,0.048587754,,
1,0,0.252748692,0.747251308,0.014199741,0.014199741,40888.73195,849370.4773,2327.042403,171338.2588,20.77272727,0.056911582,20.77272727,0.486209345,0.627773949,0.054310062,,
1,1,0.482067758,0.517932242,0.061542589,0.061542589,20116.57318,796379.6324,2181.862006,182397.4907,39.58823529,0.108460919,39.58823529,0.423848634,0.694421907,0.041329258,,
