CON,Urban,Inpatient %,Outpatient %,Charity %,Uncompensated %,Rev/Discharge,Rev Per Bed,Rev Per Bed Days,Discharges Per Bed,Discharges Per Bed Days,Discharge/FTE,Labor %,Overhead %,Depreciation %,LbrExp/FTE,Overhead Exp Per Bed
1.0,1.0,0.1169875653847948,0.8830124346152052,0.003256590705861525,0.003256590705861525,22738.897435897437,183479.37931034484,865.4687703318152,8.068965517241379,0.03806115810019518,8.068965517241379,0.6600469243748522,0.7459246571352001,0.13871501486026241,29311.00817893507,136861.7931034483
1.0,0.0,0.1726846235950383,0.8273153764049617,0.012981426657717447,0.012981426657717447,23937.533333333333,718126.0,1967.468493150685,30.0,0.0821917808219178,30.0,0.89003587114239,0.7460055756232193,0.16989943269008503,52809.873585061556,535726.0
1.0,0.0,0.07448901241909348,0.9255109875809066,0.05346415664974222,0.05346415664974222,108521.04,2096429.1818181819,5743.641594022416,19.318181818181817,0.05292652552926526,19.318181818181817,0.3972190635323154,0.8243007016129288,0.08877814358015952,131131.02855915824,1728088.0454545454
1.0,1.0,0.6638890976964242,0.3361109023035757,0.036974197586560106,0.036974197586560106,13907.598846153845,388814.59139784944,1424.229272519595,27.956989247311828,0.10240655401945725,27.956989247311828,0.8212368794403127,1.028337358572404,0.22764229306076367,58562.21109095212,399832.5698924731
0.0,1.0,0.0741162401490361,0.9258837598509639,0.0008301577791288799,0.0008301577791288799,108509.49333333333,254319.125,1405.0780386740332,2.34375,0.01294889502762431,2.34375,0.329130895090961,0.44136218127519905,0.031040970670216012,36442.680272108846,112246.84375
1.0,0.0,0.15852078584262225,0.8414792141573778,0.29516841084657885,0.29516841084657885,75790.02795425667,2485281.3333333335,2715.7834539908026,32.791666666666664,0.03583299184992943,32.791666666666664,0.41723143617275255,0.33154995598083864,0.008085871968351269,69542.55854244676,823994.9166666666
0.0,0.0,0.23707365772089325,0.7629263422791067,0.004518424240041234,0.004518424240041234,21232.28675136116,731186.875,2003.251712328767,34.4375,0.09434931506849314,34.4375,0.9677251625995065,0.7579397024871378,0.1971993308824095,69028.7604414365,554195.5625
1.0,0.0,0.026367325344523608,0.9736326746554764,0.0016389756268709538,0.0016389756268709538,113883.43478260869,714359.7272727273,1951.8025335320417,6.2727272727272725,0.01713859910581222,6.2727272727272725,0.6181447671449462,0.6865200458592482,0.11579154734493965,64877.187124348864,490422.2727272727
1.0,0.0,0.1223250051661118,0.8776749948338882,0.0011898899833574475,0.0011898899833574475,69551.69503546099,392271.56,1071.780218579235,5.64,0.01540983606557377,5.64,0.4729295185202822,0.696974820198538,0.07141471076822394,63655.229206697775,273403.4
0.0,0.0,0.4724403397411713,0.5275596602588287,0.03076013457614031,0.03076013457614031,70824.21875,90655.0,248.36986301369862,1.28,0.0035068493150684932,1.28,0.7726563344548012,0.9565027852848712,0.32214968837901936,51686.2160566706,86711.76
0.0,1.0,0.36968946476906994,0.6303105352309301,9.216283579097247e-05,9.216283579097247e-05,64293.77566225165,2284320.029411765,6258.411039484286,35.529411764705884,0.09734085414987913,35.529411764705884,0.2081777688484748,0.7513915616104115,0.02876431976198452,79354.68957055215,1716418.794117647
1.0,1.0,0.08813130680209759,0.9118686931979024,0.0161347508632382,0.0161347508632382,61992.602368866326,1465505.12,4015.082520547945,23.64,0.06476712328767123,23.64,0.5519660825204077,0.6037271572275367,0.0446152518389018,105195.21431543904,884765.24
1.0,0.0,0.1287168902667474,0.8712831097332526,0.0009871727626558165,0.0009871727626558165,57583.96200814111,1697575.2,4650.8909589041095,29.48,0.08076712328767123,29.48,0.4245312726057732,0.604251522995859,0.04614746963786936,80945.47578398777,1025762.4
0.0,1.0,0.313477675937469,0.686522324062531,0.0002597696283377685,0.0002597696283377685,42004.111392405066,1070427.3548387096,2932.6776844896153,25.483870967741936,0.06981882456915599,25.483870967741936,0.30775049506907826,0.697422928581313,0.04497431957233361,73011.80381783083,746540.5806451613
1.0,1.0,0.1162011024883127,0.8837988975116873,0.000359685698967151,0.000359685698967151,85433.848,4576813.285714285,12539.214481409002,53.57142857142857,0.14677103718199608,53.57142857142857,0.1947094630065904,0.606784155775511,0.03879680100561548,57727.57727188599,2777137.785714286
0.0,1.0,0.49728758980603616,0.5027124101939638,0.0019041649085518794,0.0019041649085518794,60174.72971014493,3460046.9583333335,9479.580707762558,57.5,0.15753424657534246,57.5,0.13049615764487396,0.4769044981771502,0.0237000034934497,79797.84977908689,1650111.9583333333
0.0,1.0,0.2298119910285869,0.7701880089714132,0.0001666907497980883,0.0001666907497980883,54792.63273727648,2489640.25,6820.932191780822,45.4375,0.12448630136986301,45.4375,0.28738727914605333,0.5963349273052603,0.045468793131859114,74264.38533895556,1484659.4375
0.0,1.0,0.3572862212295533,0.6427137787704467,0.0002700720473354853,0.0002700720473354853,105028.55833333333,3437298.272727273,9417.255541718556,32.72727272727273,0.0896637608966376,32.72727272727273,0.16286317734586528,0.5573110525150554,0.018595444979633977,86257.21389550358,1915644.3181818181
0.0,1.0,0.38327553534914727,0.6167244646508527,0.00011862725130327406,0.00011862725130327406,37630.33368644068,1076455.606060606,2949.1934412619344,28.606060606060606,0.07837276878372769,28.606060606060606,0.3308559924567256,0.7442414759887492,0.059261011903965974,67221.51109585907,801142.9090909091
1.0,0.0,0.16085304077338272,0.8391469592266173,0.0016850489774165429,0.0016850489774165429,50427.15277777778,1742762.4,4774.691506849315,34.56,0.09468493150684931,34.56,0.49162740715544473,0.6604919408405874,0.037415863459069346,86369.93548387097,1151080.52
