CON,Urban,Provider Type,Type of Control,FTE - Employees on Payroll,Number of Beds,Total Discharges (V + XVIII + XIX + Unknown),Cost of Charity Care,Cost of Uncompensated Care,Total Costs,Total fixed Assets,Total Long Term Liabilities,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Inpatient %,Outpatient %,Charity %,Uncompensated %
0.0,2.0,1,2,378.28,25.0,1400.0,301507.0,1997170.0,58181014.0,38567557.0,31410040.0,34034727.0,128497775.0,162532502.0,0.20940259075074105,0.7905974092492589,0.0018550566581445969,0.0018550566581445969
0.0,2.0,1,2,218.71,25.0,347.0,8489.0,2318770.0,29997521.0,9889642.0,17258547.0,19743154.0,55171511.0,74914665.0,0.26354191132003324,0.7364580886799668,0.00011331559715310747,0.00011331559715310747
0.0,2.0,1,2,261.0,25.0,568.0,221881.0,2513214.0,30770030.0,14964637.0,33623537.0,7562593.0,54671171.0,62233764.0,0.12151913228324097,0.878480867716759,0.003565283308269768,0.003565283308269768
1.0,1.0,1,2,402.0,84.0,4960.0,2026395.0,3954406.0,98150148.0,103746021.0,91299754.0,206000558.0,275939121.0,481939679.0,0.42744054282361754,0.5725594571763825,0.004204665206659608,0.004204665206659608
1.0,2.0,1,2,333.97,29.0,1279.0,27549.0,1480269.0,39556518.0,39329212.0,26096597.0,31458518.0,82785874.0,114244392.0,0.2753615949919012,0.7246384050080987,0.00024114093932943334,0.00024114093932943334
1.0,2.0,1,2,389.42,25.0,1323.0,77123.0,2371172.0,57084693.0,24697926.0,22224144.0,31921694.0,144521967.0,176443661.0,0.18091720506751444,0.8190827949324856,0.0004370970289490876,0.0004370970289490876
1.0,2.0,1,2,557.38,25.0,925.0,701156.0,3552296.0,71496386.0,29950575.0,18878284.0,58778819.0,169439683.0,228218502.0,0.2575550119069662,0.7424449880930337,0.003072301298340833,0.003072301298340833
1.0,2.0,1,2,266.7,25.0,896.0,314247.0,976739.0,36817765.0,34533319.0,41755004.0,16070837.0,109121037.0,125191874.0,0.1283696496147985,0.8716303503852015,0.0025101229813046812,0.0025101229813046812
1.0,2.0,1,2,267.68,25.0,780.0,242642.0,872175.0,33908713.0,20005466.0,18387653.0,18050122.0,89945817.0,107995939.0,0.16713704392162376,0.8328629560783762,0.0022467696678853824,0.0022467696678853824
1.0,2.0,1,13,125.2,33.0,791.0,475354.0,1196630.0,14287426.0,6422018.0,17918226.0,33112931.0,61650828.0,94763759.0,0.34942610286280434,0.6505738971371957,0.005016200338781411,0.005016200338781411
1.0,2.0,1,2,91.84,25.0,109.0,1339050.0,2901153.0,27310530.0,7293202.0,3276902.0,24322998.0,30354343.0,54677341.0,0.4448460286318605,0.5551539713681395,0.024490035095159436,0.024490035095159436
1.0,1.0,1,8,81.49,25.0,144.0,364789.0,1032444.0,15869473.0,188682902.0,210859856.0,10691392.0,10160619.0,20852011.0,0.5127271417610513,0.4872728582389487,0.01749418797064705,0.01749418797064705
1.0,1.0,1,2,212.96,37.0,1028.0,234249.0,1610973.0,15361414.0,3839354.0,2283276.0,14302431.0,34771338.0,49073769.0,0.2914475755876831,0.7085524244123169,0.004773405523427394,0.004773405523427394
1.0,2.0,1,9,90.0,15.0,127.0,5164.0,702387.0,11978194.0,2439239.0,147210.0,9479152.0,7542758.0,17021910.0,0.5568794571232017,0.4431205428767982,0.00030337371070579034,0.00030337371070579034
0.0,2.0,1,2,360.68,25.0,733.0,164089.0,2103744.0,45567569.0,45820172.0,27192202.0,19537364.0,84589289.0,104126653.0,0.1876307692325422,0.8123692307674578,0.001575859736891764,0.001575859736891764
0.0,2.0,1,2,190.8,25.0,518.0,108677.0,1389683.0,35411081.0,43436455.0,34063983.0,8768350.0,55258453.0,64026803.0,0.13694811530727216,0.8630518846927279,0.0016973672728903863,0.0016973672728903863
1.0,2.0,1,2,296.03,25.0,1215.0,353468.0,2419820.0,39946394.0,9641761.0,9022125.0,22912542.0,62772483.0,85685025.0,0.267404275134424,0.732595724865576,0.0041252015740206645,0.0041252015740206645
0.0,2.0,1,2,363.8,25.0,1471.0,383556.0,3459154.0,61411891.0,34103918.0,16666007.0,21406777.0,104766113.0,126172890.0,0.16966225470463583,0.8303377452953642,0.003039924028053887,0.003039924028053887
1.0,1.0,1,2,456.87,65.0,3911.0,911890.0,4287553.0,74630185.0,27523699.0,31318993.0,159193761.0,377511302.0,536705063.0,0.2966131157961519,0.7033868842038481,0.0016990523527071703,0.0016990523527071703
1.0,1.0,1,1,659.25,135.0,7376.0,6192350.0,7276942.0,101523176.0,50862000.0,8711000.0,285609120.0,299933113.0,585542233.0,0.4877686081441029,0.5122313918558971,0.010575411389668284,0.010575411389668284
1.0,2.0,1,2,252.61,25.0,604.0,607050.0,2445728.0,32562405.0,19221521.0,8095612.0,11611300.0,54544360.0,66155660.0,0.17551483879081548,0.8244851612091845,0.009176085613838635,0.009176085613838635
1.0,1.0,1,9,77.76,25.0,75.0,399818.0,1885471.0,10162333.0,3810579.0,1313897.0,741519.0,15136133.0,15877652.0,0.04670205645016026,0.9532979435498398,0.025181179181909263,0.025181179181909263
1.0,2.0,1,2,140.31,25.0,542.0,3684.0,663968.0,14824402.0,3635512.0,8335881.0,6661489.0,25130312.0,31791801.0,0.2095348105632644,0.7904651894367356,0.00011587893369111111,0.00011587893369111111
1.0,2.0,1,2,185.19,25.0,190.0,183458.0,1031247.0,30436140.0,8053449.0,4120397.0,10271593.0,67182239.0,77453832.0,0.13261568517358832,0.8673843148264117,0.002368611019787891,0.002368611019787891
1.0,2.0,1,2,216.58,25.0,488.0,147362.0,969711.0,21354659.0,3279829.0,1072074.0,7018198.0,71235045.0,78253243.0,0.08968571436713492,0.9103142856328651,0.0018831424021621699,0.0018831424021621699
1.0,2.0,1,9,106.36,6.0,371.0,34927.0,2798414.0,18352538.0,5850537.0,3050464.0,5517446.0,33938400.0,39455846.0,0.13983849186759295,0.860161508132407,0.0008852173642405235,0.0008852173642405235
1.0,2.0,1,2,268.49,25.0,1389.0,74260.0,5673928.0,39364744.0,18144928.0,10297687.0,37627023.0,91042813.0,128669836.0,0.29243079939885835,0.7075692006011417,0.0005771360429805786,0.0005771360429805786
1.0,1.0,1,2,247.66,21.0,1026.0,242418.0,4232114.0,42605663.0,18746961.0,342000.0,19592793.0,109424736.0,129017529.0,0.15186148077599596,0.8481385192240041,0.0018789539830669055,0.0018789539830669055
1.0,2.0,1,2,266.9,25.0,1809.0,2372637.0,6852253.0,54737697.0,22014340.0,11420818.0,30086990.0,171915345.0,202002335.0,0.1489437733479665,0.8510562266520335,0.011745591950706907,0.011745591950706907
1.0,2.0,1,2,202.61,25.0,1357.0,1529427.0,4627844.0,43236017.0,32810400.0,10038343.0,14672583.0,111490718.0,126163301.0,0.11629834415952703,0.883701655840473,0.012122598155544456,0.012122598155544456
1.0,2.0,1,2,150.73,25.0,259.0,191265.0,1095357.0,23245076.0,12859874.0,4300725.0,8960931.0,53199564.0,62160495.0,0.14415797364548014,0.8558420263545199,0.0030769542617059276,0.0030769542617059276
0.0,2.0,1,2,162.75,25.0,541.0,19715.0,1033863.0,27249282.0,16247694.0,9275525.0,21324824.0,39988378.0,61313202.0,0.3478015061095651,0.6521984938904349,0.00032154575779617576,0.00032154575779617576
0.0,2.0,1,2,222.3,25.0,669.0,94802.0,1625287.0,38827546.0,14223342.0,7530779.0,12980474.0,66086552.0,79067026.0,0.1641705102200252,0.8358294897799747,0.0011990080416076356,0.0011990080416076356
0.0,2.0,1,2,492.51,25.0,1144.0,4094433.0,6200176.0,60236993.0,35474846.0,26512616.0,18431725.0,128428769.0,146860494.0,0.12550499115167077,0.8744950088483292,0.02787974416046837,0.02787974416046837
1.0,2.0,1,2,371.07,25.0,1586.0,986874.0,3036415.0,66103874.0,21321344.0,11593044.0,34336708.0,122741430.0,157078138.0,0.2185963523453531,0.7814036476546469,0.006282694794866998,0.006282694794866998
1.0,2.0,1,9,292.01,77.0,1398.0,397916.0,2689754.0,25857343.0,11474313.0,2367544.0,23015585.0,61063071.0,84078656.0,0.27373873578569097,0.726261264214309,0.004732663661988127,0.004732663661988127
0.0,2.0,1,11,200.25,19.0,583.0,37593.0,158454.0,29033777.0,44145138.0,37680289.0,12292007.0,49450190.0,61742197.0,0.19908599948265526,0.8009140005173447,0.0006088704618010273,0.0006088704618010273
0.0,2.0,1,2,367.88,40.0,1062.0,880927.0,2383360.0,63585794.0,27758958.0,27841825.0,37782777.0,142273197.0,180055974.0,0.20983906371248753,0.7901609362875125,0.004892517479036825,0.004892517479036825
1.0,2.0,1,9,100.26,25.0,479.0,230730.0,1559456.0,13318468.0,3147747.0,4660597.0,5671663.0,39441574.0,45113237.0,0.1257205950439779,0.8742794049560221,0.0051144634112599814,0.0051144634112599814
0.0,1.0,1,11,189.69,25.0,720.0,7006.0,704734.0,31873941.0,38326688.0,37173804.0,15002954.0,47142821.0,62145775.0,0.24141551054757945,0.7585844894524205,0.00011273493652625621,0.00011273493652625621
0.0,2.0,1,11,217.81,25.0,754.0,74689.0,1057640.0,39923709.0,39584036.0,42712040.0,21268050.0,63125365.0,84393415.0,0.25201077595923804,0.747989224040762,0.0008850098079334744,0.0008850098079334744
1.0,2.0,1,2,159.43,25.0,379.0,461857.0,911881.0,30166115.0,14307000.0,28580000.0,9582173.0,65696868.0,75279041.0,0.1272887230324839,0.872711276967516,0.0061352667869400725,0.0061352667869400725
1.0,2.0,1,2,142.83,25.0,457.0,362644.0,895562.0,26741841.0,13520106.0,28673.0,7163682.0,67871112.0,75034794.0,0.09547146887615897,0.904528531123841,0.004833011202776141,0.004833011202776141
1.0,2.0,1,4,50.62,15.0,78.0,9789.0,1037809.0,9352235.0,4685405.0,9652390.0,4385967.0,11915927.0,16301894.0,0.26904646785214037,0.7309535321478596,0.0006004823733978395,0.0006004823733978395
1.0,2.0,1,11,347.0,25.0,1156.0,610666.0,1969943.0,40714504.0,15675544.0,6790295.0,14790324.0,64503635.0,79293959.0,0.18652523075559893,0.8134747692444011,0.007701292856370055,0.007701292856370055
1.0,2.0,1,2,331.39,25.0,953.0,1068098.0,7513196.0,68301153.0,60043732.0,711890.0,26227508.0,134971491.0,161198999.0,0.1627026728621311,0.8372973271378689,0.006625959259213514,0.006625959259213514
0.0,2.0,1,2,231.76,25.0,940.0,374468.0,1886282.0,38902167.0,17876732.0,6315691.0,16862395.0,74417518.0,91279913.0,0.18473281191668095,0.8152671880833191,0.004102414076577834,0.004102414076577834
0.0,2.0,1,2,75.96,10.0,148.0,6001.0,530406.0,31088390.0,33544733.0,31223959.0,1395301.0,59230085.0,60625386.0,0.023015127689248856,0.9769848723107512,9.898493677219638e-05,9.898493677219638e-05
0.0,2.0,1,2,191.88,25.0,945.0,173027.0,1809307.0,23812140.0,15404643.0,15330063.0,37802946.0,83537331.0,121340277.0,0.311544912659133,0.688455087340867,0.0014259650981347273,0.0014259650981347273
0.0,2.0,1,1,277.02,25.0,1138.0,596.0,909702.0,46455747.0,27449056.0,31664470.0,27515308.0,82075575.0,109590883.0,0.2510729656225144,0.7489270343774855,5.438408594627347e-06,5.438408594627347e-06
1.0,2.0,1,9,139.78,25.0,448.0,117876.0,1648417.0,14941400.0,3235938.0,16501169.0,15454991.0,22250328.0,37705319.0,0.40988888066429036,0.5901111193357096,0.0031262432761807427,0.0031262432761807427
1.0,2.0,1,2,112.1,25.0,614.0,5081.0,643258.0,14075958.0,11502188.0,4055000.0,10913939.0,33872894.0,44786833.0,0.24368633075707766,0.7563136692429223,0.00011344852180103916,0.00011344852180103916
1.0,2.0,1,2,289.95,25.0,1524.0,1689375.0,5084445.0,53589511.0,27964403.0,9420000.0,26167297.0,150156437.0,176323734.0,0.14840484832291495,0.8515951516770851,0.009581098140764192,0.009581098140764192
1.0,2.0,1,2,103.01,25.0,405.0,47169.0,611928.0,10218451.0,4288829.0,2192599.0,4882284.0,22149919.0,27032203.0,0.18060991921376146,0.8193900807862385,0.001744918828850168,0.001744918828850168
1.0,1.0,1,2,154.71,25.0,885.0,719479.0,1991831.0,26919676.0,26498786.0,34426827.0,24508321.0,67285110.0,91793431.0,0.26699427979764695,0.733005720202353,0.007838022744786607,0.007838022744786607
1.0,2.0,1,4,109.39,25.0,199.0,22292.0,1219033.0,11472535.0,651389.0,4198449.0,6187389.0,39658027.0,45845416.0,0.13496199925418934,0.8650380007458106,0.00048624272489969334,0.00048624272489969334
0.0,2.0,1,2,230.96,25.0,603.0,33926.0,880737.0,34476362.0,10471452.0,7880244.0,20613883.0,55795473.0,76409356.0,0.26978218478899363,0.7302178152110064,0.00044400321866343176,0.00044400321866343176
1.0,2.0,1,9,71.93,19.0,288.0,6562.0,981015.0,11556829.0,718346.0,88312.0,6559365.0,22115523.0,28674888.0,0.22874945492376467,0.7712505450762354,0.0002288413471745731,0.0002288413471745731
1.0,2.0,5,9,156.24,25.0,419.0,714619.0,3781992.0,38006225.0,15867978.0,11956912.0,9106565.0,71809099.0,80915664.0,0.11254390744417546,0.8874560925558246,0.008831652175529326,0.008831652175529326
1.0,2.0,1,2,135.91,25.0,571.0,281073.0,1750216.0,20648195.0,15877364.0,6063490.0,15145639.0,31420216.0,46565855.0,0.3252520328468145,0.6747479671531855,0.006036032195693604,0.006036032195693604
1.0,2.0,1,2,127.1,25.0,409.0,165617.0,504328.0,12455614.0,2706797.0,2874007.0,5581518.0,21772763.0,27354281.0,0.2040455020550531,0.7959544979449469,0.006054518486521361,0.006054518486521361
1.0,1.0,1,2,836.57,210.0,6856.0,2219706.0,6593383.0,119768904.0,77443162.0,95167969.0,229674377.0,383566973.0,613241350.0,0.37452526154669774,0.6254747384533023,0.0036196287155130682,0.0036196287155130682
1.0,1.0,1,2,1379.39,310.0,12544.0,2470487.0,6313525.0,209372288.0,98118452.0,22689306.0,433159195.0,533546000.0,966705195.0,0.4480778599726052,0.5519221400273948,0.002555574349634068,0.002555574349634068
1.0,1.0,1,11,270.36,54.0,1966.0,637473.0,4766938.0,37618121.0,41874725.0,744986.0,60187933.0,70717023.0,130904956.0,0.45978345541019855,0.5402165445898015,0.004869739232791156,0.004869739232791156
1.0,1.0,1,6,952.95,201.0,10465.0,7774550.0,9829830.0,196694381.0,191441518.0,41944524.0,921236374.0,910267357.0,1831503731.0,0.5029945385352862,0.49700546146471375,0.004244899897503949,0.004244899897503949
1.0,2.0,1,2,193.21,25.0,644.0,2964340.0,7004672.0,48559665.0,24888647.0,13307970.0,19087859.0,137851664.0,156939523.0,0.12162557037974431,0.8783744296202557,0.0188884223893047,0.0188884223893047
1.0,2.0,1,13,131.8,25.0,34.0,68822.0,1279443.0,16386372.0,32303935.0,24165000.0,595795.0,24328732.0,24924527.0,0.023903964155468225,0.9760960358445318,0.0027612158898742594,0.0027612158898742594
1.0,2.0,1,9,200.05,23.0,462.0,36946.0,1539223.0,28153296.0,6881896.0,299071.0,4397775.0,56523312.0,60921087.0,0.07218805862738463,0.9278119413726154,0.0006064566773078097,0.0006064566773078097
1.0,1.0,1,1,84.91,25.0,142.0,100240.0,183633.0,13287374.0,2126583000.0,2342418000.0,4197606.0,22336608.0,26534214.0,0.15819598048014538,0.8418040195198546,0.0037777640596401312,0.0037777640596401312
1.0,2.0,1,11,47.82,25.0,16.0,6485.0,63104.0,7492820.0,2514536.0,1143643.0,2688552.0,2502763.0,5191315.0,0.5178942137011527,0.4821057862988472,0.0012492017918388693,0.0012492017918388693
1.0,2.0,1,2,152.19,25.0,703.0,333410.0,840892.0,19740153.0,7952878.0,55778.0,11170686.0,28737095.0,39907781.0,0.2799124812276583,0.7200875187723417,0.00835451111651635,0.00835451111651635
0.0,2.0,1,9,174.14,25.0,511.0,1192361.0,3393414.0,16686509.0,2905735.0,235550.0,6983308.0,34298302.0,41281610.0,0.16916268527317613,0.8308373147268239,0.028883587631393252,0.028883587631393252
0.0,2.0,1,1,65.16,14.0,216.0,2938.0,202165.0,10984498.0,4200293.0,4543748.0,2770487.0,11848250.0,14618737.0,0.18951616682070413,0.8104838331792958,0.00020097495426588493,0.00020097495426588493
1.0,2.0,1,9,255.75,25.0,1278.0,473362.0,4272209.0,34372608.0,18143968.0,23580134.0,26818977.0,89684132.0,116503109.0,0.23019966789040797,0.769800332109592,0.004063084702743856,0.004063084702743856
1.0,2.0,1,11,362.0,25.0,1359.0,135257.0,1170642.0,55448660.0,23828111.0,12464674.0,30319721.0,85206841.0,115526562.0,0.26244805069158034,0.7375519493084196,0.001170787026450246,0.001170787026450246
1.0,2.0,1,4,61.87,15.0,54.0,71127.0,313013.0,4189644.0,21768.0,203818.0,2378814.0,8650863.0,11029677.0,0.21567394947286309,0.7843260505271369,0.006448692921832616,0.006448692921832616
1.0,2.0,1,9,151.07,25.0,378.0,458416.0,1698496.0,13580282.0,3434651.0,2936684.0,13227274.0,41147809.0,54375083.0,0.24325984017348534,0.7567401598265147,0.00843062621164183,0.00843062621164183
1.0,2.0,1,4,138.08,25.0,365.0,1053.0,629433.0,20142264.0,1993406.0,6556669.0,5967315.0,57060849.0,63028164.0,0.09467696060446883,0.9053230393955312,1.6706816971536726e-05,1.6706816971536726e-05
1.0,1.0,1,4,602.01,148.0,4735.0,1100283.0,5037897.0,57317606.0,52080833.0,36139339.0,138502588.0,123116733.0,261619321.0,0.5294050434447845,0.4705949565552156,0.004205664152763396,0.004205664152763396
1.0,2.0,1,2,520.67,25.0,1652.0,311876.0,3336859.0,81391642.0,56149140.0,56684527.0,37639662.0,194146995.0,231786657.0,0.16238925263070686,0.8376107473692931,0.001345530428871926,0.001345530428871926
1.0,2.0,1,9,80.38,34.0,258.0,64193.0,1057202.0,6974706.0,696669.0,24169.0,3912524.0,16212083.0,20124607.0,0.1944149269598159,0.8055850730401841,0.0031897765755127543,0.0031897765755127543
0.0,2.0,1,2,253.9,25.0,1102.0,770337.0,962552.0,33615970.0,23761417.0,255782.0,22764180.0,64668951.0,87433131.0,0.2603610295049367,0.7396389704950632,0.008810584628383033,0.008810584628383033
0.0,1.0,1,4,208.05,12.0,488.0,52058.0,445212.0,37856264.0,3948999.0,4314875.0,32036010.0,180535511.0,212571521.0,0.15070697076114914,0.8492930292388509,0.00024489639889249324,0.00024489639889249324
0.0,2.0,1,8,213.92,25.0,542.0,10238.0,685243.0,33176702.0,21422508.0,51324322.0,10531772.0,54063902.0,64595674.0,0.16304144454007866,0.8369585554599214,0.00015849358580885772,0.00015849358580885772
1.0,2.0,1,2,49.52,3.0,4.0,737160.0,1813995.0,18040862.0,31174695.0,85350.0,62776982.0,256525272.0,319302254.0,0.1966067611912317,0.8033932388087683,0.0023086589297925844,0.0023086589297925844
0.0,2.0,1,2,91.83,25.0,145.0,177599.0,409450.0,17088745.0,6640175.0,3691794.0,3897935.0,33681286.0,37579221.0,0.1037258063438835,0.8962741936561165,0.004725989397172442,0.004725989397172442
1.0,2.0,1,2,406.44,25.0,1905.0,461749.0,2404505.0,80559161.0,18738973.0,7977832.0,80137999.0,200132596.0,280270595.0,0.28593081268479126,0.7140691873152087,0.001647511398760901,0.001647511398760901
1.0,2.0,1,2,183.32,25.0,445.0,33615.0,1346213.0,21815345.0,1673524.0,1315962.0,10283928.0,67569709.0,77853637.0,0.13209309669116678,0.8679069033088332,0.0004317717359819683,0.0004317717359819683
0.0,2.0,1,2,248.3,30.0,1724.0,812693.0,2417007.0,75993839.0,25557314.0,4552047.0,66281890.0,170806381.0,237088271.0,0.2795662970607264,0.7204337029392737,0.0034278076961470607,0.0034278076961470607
