Rev/Discharge,Rev Per Bed,Rev Per Bed Days,Discharge/FTE,Labor %,Overhead %,Depreciation %
16873.36224489796,51674.671875,847.125768442623,3.0625,0.5099282500281962,0.9248822032312131,0.07349617302238555
15444.529411764706,132660.37894736842,1105.503157894737,8.589473684210526,0.4141906170215737,0.826682872671458,0.1192656896089865
29768.443037974685,383952.1632653061,3199.6013605442176,12.89795918367347,0.4788707734424399,0.9118697078335014,0.043938881416775134
34343.97538677919,1017440.2708333334,5590.331158424909,29.625,0.7349307749085107,0.5330902000328316,0.03144424960408712
24686.765346103613,846350.7462686567,3100.1858837679733,34.28358208955224,0.4093499748701625,0.6702345495586848,0.06006870585745651
18032.72316384181,120901.21212121213,1328.5847485847487,6.704545454545454,0.38678090552266564,0.6608665915573446,0.05328191811997774
25793.994640605295,1022731.8875,3746.2706501831503,39.65,0.4423819483187865,0.6457467879136604,0.07018191999024768
16889.400759013282,324843.5839416058,1532.2810563283294,19.233576642335766,0.4094726915285068,0.609065921923434,0.03911280512748067
122701.5,350575.71428571426,1936.8823993685871,2.857142857142857,0.3661267384669299,0.6439318182744302,0.01654054758906778
20322.17122302158,318584.41353383457,1502.7566676124272,15.676691729323307,0.49765583073826564,0.66143652818305,0.0799301147201293
26553.76672694394,118421.23387096774,1910.019901144641,4.459677419354839,0.505416183466988,0.8239530794696598,0.055889333818116345
35319.82226211849,447116.8409090909,3725.9736742424243,12.659090909090908,0.43786297266918384,0.5987133422161718,0.06184680931224963
20713.017341040464,426589.5238095238,1168.7384213959556,20.595238095238095,0.7148916433551602,0.8227814069061594,0.08356589026140887
20164.111088709677,1190642.75,3262.0349315068493,59.04761904761905,0.36574263894738485,0.5863564628672803,0.008980553530755511
290708.7083333333,498357.78571428574,1365.363796477495,1.7142857142857142,0.36602124205372244,0.5919320155671292,0.0067311795068631846
21563.808365758756,599124.1891891892,1641.436134764902,27.783783783783782,0.6331635434516013,0.47548184636177265,0.049813748401664686
26138.81564817182,1572752.4307692307,4308.910769230769,60.16923076923077,0.30157665383650584,0.5304483248515185,0.030874251341900277
19236.42131616595,349253.4675324675,956.8588151574453,18.155844155844157,0.6437106649407343,0.6167239384844491,0.03688122610464465
70640.12806026365,1875495.4,5138.3435616438355,26.55,0.6145298330243838,0.579531200129843,0.043276819020723806
76155.88888888889,1154362.9473684211,3162.6382119682767,15.157894736842104,0.25705219228687354,0.7218049545304004,0.008218522533458419
26859.533109684948,876899.8047619048,2402.4652185257664,32.647619047619045,0.3064332717732062,0.5430845851265442,0.05384740187426202
20033.315130739797,810638.4032258064,2220.9271321254973,40.464516129032255,0.5768413628438327,0.570448671269265,0.052231923700279154
15381.693285859614,560007.574074074,1534.26732623034,36.407407407407405,0.7413384190670173,0.8897415706249211,0.1159347745594314
19665.105398948876,1023857.3532338309,2805.088638996797,52.06467661691542,0.36810145174918646,0.615618032883623,0.10889708827597874
20608.921722113504,421246.36,1138.5036756756756,20.44,1.0180322982494139,0.9077426330758086,0.08074467397178221
17805.593023255813,135113.0294117647,370.1726833199033,7.588235294117647,0.8732610147974147,0.9497070317814518,0.04585158874606729
119886.3606557377,4875378.666666667,13357.201826484019,40.666666666666664,0.23535635112376913,0.5055616363747746,0.028446576730860425
40888.73194748359,849370.4772727273,2327.042403486924,20.772727272727273,0.4862093452581365,0.6277739494819974,0.054310062417617794
20116.573179791976,796379.6323529412,2181.8620064464144,39.588235294117645,0.4238486337481487,0.6944219073023756,0.0413292581510647
19061.866656689614,916340.9568345323,2510.523169409678,48.07194244604317,0.3465675451943907,0.6227336777262066,0.04678154850673573
27103.08182784272,1416888.888888889,3881.8873668188735,52.27777777777778,0.5024905505018821,0.6958311833437892,0.12180850062735257
109889.3,610496.1111111111,1672.5920852359209,5.555555555555555,0.6398971510420032,0.8588491327181081,0.04387233333909671
42443.5239642567,1274340.9268292682,3491.345005011694,30.024390243902438,0.5755992030926058,0.5850245726255665,0.036370833336363755
18227.36866359447,158213.56,433.46180821917807,8.68,0.6134447641529588,0.8632964203573954,0.044449287406212214
45894.990439770554,2069231.0344827587,5669.126121870571,45.08620689655172,0.6110482071467495,0.5757030847707878,0.012741606493833291
32442.55248990579,983870.0612244898,2695.534414313671,30.3265306122449,0.5700056874525471,0.522695121947931,0.03270918905356529
19168.40173355945,908274.1785714285,2488.42240704501,47.38392857142857,0.40224280136933166,0.7169702375505949,0.04716384806239872
20041.54248490626,916725.7877906977,2748.251989158758,45.741279069767444,0.5370392564734089,0.5977697592745004,0.04788331764813989
24727.45534462989,1960462.5959595959,5371.130399889304,79.28282828282828,0.37094440249020383,0.5497652257367395,0.05098931582304294
22667.817948717948,690660.078125,2199.554388933121,30.46875,0.32990975910838916,0.862374501566606,0.18022928473429348
35650.57766871166,2105450.782608696,5768.358308516975,59.05797101449275,0.3433590358397827,0.5709875107884226,0.05255139551374533
20767.95887662989,1035282.75,2836.391095890411,49.85,0.41011566646889464,0.6267596219486898,0.06974210064834944
22926.314195896757,1215496.8684210526,3330.128406633021,53.01754385964912,0.3382787659797748,0.6387247687020894,0.04695702991087112
17836.538874570448,528961.3057324841,1449.2090568013261,29.656050955414013,0.4909559505062951,0.6915762744978216,0.06040077943885339
23167.6084599311,1254522.4556574924,3437.0478237191573,54.149847094801224,0.4700726223679986,0.39094904401931585,0.04543763150266838
21248.915555555555,209693.24561403508,1654.0983946858566,9.868421052631579,0.5065314287411478,0.991526762359219,0.14586553541242156
12665.605136208853,797028.4375,2183.6395547945203,62.92857142857143,0.5101403836135305,0.629828026950777,0.04773992817181364
