CON,Urban,Inpatient %,Outpatient %,Charity %,Uncompensated %,Rev Per Discharge,Rev Per Bed,Rev Per Bed Days,Rev Per FTE,Discharges Per Bed,Discharges Per Bed Days,Discharges Per FTE,Labor %,Overhead %,Depreciation %,Labor Exp Per FTE,Overhead Exp Per Bed
1.0,1.0,0.31188128825903294,0.6881187117409671,0.0030804457027911003,0.0030804457027911003,19670.23908045977,122236.4857142857,1328.657453416149,26564.89909965849,6.214285714285714,0.06754658385093168,6.214285714285714,0.7151155710581619,0.6274063133359528,0.03145097898055689,18996.972989754733,76691.94285714286
1.0,0.0,0.3257304662745342,0.6742695337254658,0.0010752366291634048,0.0010752366291634048,16873.36224489796,51674.671875,847.125768442623,121408.92070484582,3.0625,0.050204918032786885,3.0625,0.5099282500281962,0.9248822032312131,0.07349617302238555,61909.83847283407,47792.984375
1.0,0.0,0.3647629563863023,0.6352370436136977,0.0009050415719253343,0.0009050415719253343,15444.529411764706,132660.37894736842,1105.503157894737,52406.58682634731,8.589473684210526,0.07157894736842105,8.589473684210526,0.4141906170215737,0.826682872671458,0.1192656896089865,21706.316533599467,109668.06315789474
1.0,0.0,0.2769169383895332,0.7230830616104669,0.0007797527498110947,0.0007797527498110947,29768.443037974685,383952.1632653061,3199.6013605442176,49737.3658330249,12.89795918367347,0.10748299319727891,12.89795918367347,0.4788707734424399,0.9118697078335014,0.043938881416775134,23817.77084545022,350114.3469387755
1.0,1.0,0.3474107646958763,0.6525892353041237,0.040733410783962275,0.040733410783962275,34343.97538677919,1017440.2708333334,5590.331158424909,70460.86912611274,29.625,0.16277472527472528,29.625,0.7349307749085107,0.5330902000328316,0.03144424960408712,51783.86114758119,542387.4375
1.0,1.0,0.364418734822044,0.635581265177956,0.0429452389979808,0.0429452389979808,24686.765346103613,846350.7462686567,3100.1858837679733,156208.11955511174,34.28358208955224,0.12558088677491663,34.28358208955224,0.4093499748701625,0.6702345495586848,0.06006870585745651,63943.789814400334,567253.5111940298
1.0,0.0,0.5133041358012485,0.4866958641987515,0.01744217668319239,0.01744217668319239,18032.72316384181,120901.21212121213,1328.5847485847487,44957.982956546235,6.704545454545454,0.07367632367632368,6.704545454545454,0.38678090552266564,0.6608665915573446,0.05328191811997774,17388.889358405522,79899.57196969698
1.0,1.0,0.40996935887607233,0.5900306411239277,0.00047629837196517703,0.00047629837196517703,35266.95183486238,516853.4789915966,3422.8707217986534,86517.88437192292,14.655462184873949,0.09705604095943013,14.655462184873949,0.33716520346029183,0.49778685063354594,0.04778315665880244,29170.820087213393,257282.8655462185
1.0,1.0,0.5450642743132103,0.4549357256867897,0.012589822079960868,0.012589822079960868,23276.740697594738,967742.0997150997,3544.8428560992666,133169.775082232,41.57549857549858,0.15229120357325485,41.57549857549858,0.44490289534269,0.5148544982863259,0.05473758862145576,59247.618506219835,498246.3732193732
1.0,1.0,0.32426496099950813,0.6757350390004918,0.005332073162723207,0.005332073162723207,25793.994640605295,1022731.8875,3746.2706501831503,136161.144625933,39.65,0.14523809523809525,39.65,0.4423819483187865,0.6457467879136604,0.07018191999024768,60235.23244493631,660425.83125
1.0,1.0,0.5305960392349035,0.4694039607650965,0.0019280924670067488,0.0019280924670067488,16889.400759013282,324843.5839416058,1532.2810563283294,115683.83415648558,19.233576642335766,0.09072441812422531,19.233576642335766,0.4094726915285068,0.609065921923434,0.03911280512748067,47369.37093839356,197851.15693430658
0.0,1.0,0.023999056881956006,0.976000943118044,0.0007815715374302677,0.0007815715374302677,122701.5,350575.71428571426,1936.8823993685871,109310.91314031181,2.857142857142857,0.01578531965272297,2.857142857142857,0.3661267384669299,0.6439318182744302,0.01654054758906778,40021.648106904235,225746.85714285713
0.0,1.0,0.6092144851423008,0.3907855148576992,0.032370099052134456,0.032370099052134456,20322.17122302158,318584.41353383457,1502.7566676124272,206088.16634241247,15.676691729323307,0.07394665910058164,15.676691729323307,0.49765583073826564,0.66143652818305,0.0799301147201293,102560.97762645915,210723.36842105264
1.0,1.0,0.4926136695969425,0.5073863304030575,0.01437998157615723,0.01437998157615723,26553.76672694394,118421.23387096774,1910.019901144641,31694.86941506583,4.459677419354839,0.07193028095733611,4.459677419354839,0.505416183466988,0.8239530794696598,0.055889333818116345,16019.099935247139,97573.54032258065
0.0,1.0,0.2508381018315519,0.749161898168448,0.018643286295767413,0.018643286295767413,35319.82226211849,447116.8409090909,3725.9736742424243,86365.25308398086,12.659090909090908,0.10549242424242425,12.659090909090908,0.43786297266918384,0.5987133422161718,0.06184680931224963,37816.14645067826,267694.8181818182
0.0,0.0,0.1881903454495696,0.8118096545504304,0.016324994027938088,0.016324994027938088,20713.017341040464,426589.5238095238,1168.7384213959556,93692.20310620719,20.595238095238095,0.05642530984996738,20.595238095238095,0.7148916433551602,0.8227814069061594,0.08356589026140887,66979.77304816191,350989.9285714286
1.0,1.0,0.42744054282361754,0.5725594571763825,0.020261115267362944,0.020261115267362944,20164.111088709677,1190642.75,3262.0349315068493,248791.0223880597,59.04761904761905,0.16177429876060012,59.04761904761905,0.36574263894738485,0.5863564628672803,0.008980553530755511,90993.48507462686,698141.0714285715
1.0,0.0,0.34942610286280434,0.6505738971371957,0.03467864832396698,0.03467864832396698,17329.1997471555,415375.6666666667,1138.0155251141553,109484.00159744409,23.96969696969697,0.06567040265670403,23.96969696969697,0.6638536113019854,0.6151068652932428,0.0845650709613211,72681.34984025559,255500.42424242425
