Provider CCN,lat,lng
10001,31.21588400000001,-85.3630079
10005,34.222103000000004,-86.1609084
10006,34.7939615,-87.6826906
10007,31.2826685,-86.2555067
10008,31.6936146,-86.2647235
10011,33.596457,-86.6676502
10012,34.4419753,-85.75501379999999
10016,33.25241389999999,-86.81304449999998
10018,33.503575399999995,-86.80245749999996
10019,34.7460029,-87.7003008
10021,31.4513601,-85.63198009999998
10022,34.1625381,-85.6619966
10023,32.3280315,-86.2776022
10024,32.3670831,-86.28534920000001
10029,32.6386458,-85.4053903
10032,33.3166476,-85.487436
10033,33.5059347,-86.801914
10034,32.5338957,-85.9123254
10035,34.207586600000006,-86.8748531
10036,31.2962978,-86.49476240000001
10038,33.668338500000004,-85.8239435
10039,34.7208528,-86.5804893
10040,34.007498600000005,-85.98051679999998
10044,34.1262252,-87.9908915
10045,33.7085114,-87.8245026
10046,34.004403,-86.003626
10047,31.6363932,-86.74313029999998
10049,31.318647,-85.855114
10051,32.8430658,-87.8902868
10052,32.8285001,-85.7629906
10055,31.2379068,-85.456757
10056,33.5076781,-86.7883984
10058,32.95058880000001,-87.14832109999998
10059,34.483428700000005,-87.28537879999998
10061,34.6626019,-86.04849909999999
10062,31.0491568,-85.8916728
10065,32.944012,-85.9538532
10069,31.8887641,-85.1563565
10073,33.2773548,-85.8242805
10078,33.6563834,-85.8230981
10079,34.8041941,-86.97849520000004
10083,30.4257603,-87.6843081
10085,34.591194,-86.9713527
10086,33.932354499999995,-87.75665129999999
10087,30.707876,-88.1016752
10089,33.841043,-87.2365408
10090,30.678913800000004,-88.1987853
10091,31.694274100000005,-87.7759489
10092,33.204149699999995,-87.5278395
10095,32.6955444,-87.58690770000004
10097,32.5523787,-86.18666970000002
10099,31.1268079,-87.07349520000002
10100,30.5187163,-87.8890868
10101,33.4403319,-86.0902287
10102,31.9974963,-87.30018009999998
10103,33.497944800000006,-86.8473661
10104,33.5169978,-86.7485517
10108,32.463778000000005,-86.451938
10109,32.9506363,-88.2683728
10110,32.1466768,-85.71674279999998
10112,32.5038111,-87.837458
10113,30.6888389,-88.04982220000002
10114,33.372240500000004,-86.9908723
10118,32.4292722,-87.056025
10120,31.5093273,-87.31955040000004
